Surface Word,Gikuyu Lemma,English translation,Glossing,Match Type
ndangihota,hota,"overcome, vanquish, win",hota V;PST,PanLex Exact Match
Itonga,tonga,"Tonga, country, 𐐓𐐪𐑍𐑀𐐲",tonga V;PRS,PanLex Exact Match
Kiama,ama,magic,Kiama N;SG;BANTU15,PanLex Exact Match
Ciakorire,gokora,elbow,Ciakora V;PST;REC;3;SG,Substring Overlap
urugari,gari,leopard,urugari N;SG;BANTU11,Substring Overlap
kuhika,tahika,vomit,hika V;NFIN,Substring Overlap
ui,ui,[Translation Missing],ui DET;PROX;BANTU3,No Lexicon Match
iminaga,iminaga,[Translation Missing],iminaga N;PL;BANTU4,No Lexicon Match
njega,ega,[Translation Missing],njega N;SG;BANTU9,No Lexicon Match
ciegangara,ganga,guinea fowl,egangara V;PRS,Substring Overlap
Mbugi,umbugi,[Translation Missing],uMbugi N;SG;BANTU1,No Lexicon Match
nduigana,igana,hundred,nduigana N;SG;BANTU11,PanLex Exact Match
kiiraga,iraga,[Translation Missing],iraga V;PRS,No Lexicon Match
ngathii,ingira thiini,penetrate,ngathii N;SG;BANTU9,Substring Overlap
murogori,murogori,[Translation Missing],murogori N;SG;BANTU1,No Lexicon Match
ikiumbuka,umbuka,[Translation Missing],umbuka V;PRS;HAB;3;SG,No Lexicon Match
gatihonaga,hona,"escape, recover",gatihonaga V;PST,Substring Overlap
conge,onga,"suck, suck (the breast)",conge,Substring Overlap
akiaga,aga,[Translation Missing],aga V;PRS;PROG;3;SG,No Lexicon Match
kionje,onja,[Translation Missing],onje V;PRS;HAB;3;SG,No Lexicon Match
gakuru,wakuru,[Translation Missing],gakuru N;SG;BANTU1,No Lexicon Match
haraya,haraya,[Translation Missing],haraya,No Lexicon Match
Mururi,muru,mosquito,uMururi N;SG;BANTU1,Substring Overlap
maitu,itu,"our, ours, mother",maitu N;PL;BANTU6,PanLex Exact Match
rwa,wa,[Translation Missing],rwa V;PRS,No Lexicon Match
kimwe,imwe,one,kimwe DET;POSS;PSS1P;BANTU10,Substring Overlap
Bata,bata,duck,BANTU2,PanLex Exact Match
Guthinga,hinga,obstruct,Guthinga V;PRS,Substring Overlap
thaka,thaka,"bush, beautiful, thicket",thaka,PanLex Exact Match
Kiriti,kiriti,[Translation Missing],Kiriti N;SG;BANTU10,No Lexicon Match
gatagwo,gatagwo,[Translation Missing],gatagwo N;SG;BANTU1,No Lexicon Match
Itari,dagitari,"doctor, physician, physican",itari,Substring Overlap
mukuu,kuu,death,mukuu N;SG;BANTU1,PanLex Exact Match
karia,karia,[Translation Missing],karia,No Lexicon Match
ucuwe,cuwa,[Translation Missing],cuwa V;PST;REC;2;SG,No Lexicon Match
ndwagaga,gagatu,bitter,ndwagaga N;SG;BANTU10,Substring Overlap
ndahoyaga,hoya,ask for,hoyaga V;PST;REC;1;SG,Substring Overlap
kihoto,kihoto,[Translation Missing],kihoto,No Lexicon Match
athuri,thuri,chest,thuri V;PRS;HAB;3;SG,PanLex Exact Match
ekuuma,uma,"become dry, dry up, go away, go out",uma V;NFIN,PanLex Exact Match
njuru,njuru,[Translation Missing],njuru N;SG;BANTU9,No Lexicon Match
hungu,hungu,kite,hungu,PanLex Exact Match
maithori,maithori,tears,maithori N;PL;BANTU6,PanLex Exact Match
tikuo,tikuo,[Translation Missing],tikuo N;SG;BANTU10,No Lexicon Match
kuoria,oria,[Translation Missing],oria V;NFIN,No Lexicon Match
onaga,ona,[Translation Missing],onaga V;PRS,No Lexicon Match
kaara,kaara,[Translation Missing],kaara,No Lexicon Match
gukomorania,komorania,[Translation Missing],gukomorania V;PRS,No Lexicon Match
Gakiibatha,ibatha,[Translation Missing],ibatha V;PRS;PROG;3;SG,No Lexicon Match
kiondo,kiondo,"basket, basket (of open wicker-work)",kiondo N;SG;BANTU15,PanLex Exact Match
ndararaga,raraga,[Translation Missing],raraga V;PST,No Lexicon Match
guicuhio,guicuhio,[Translation Missing],guicuhio N;SG;BANTU14,No Lexicon Match
Muhuunu,huunu,[Translation Missing],uMuhuunu N;SG;BANTU1,No Lexicon Match
akamenya,menya,know,menya V;PST;REM;3;SG,PanLex Exact Match
mutego,mutego,"snare, trap",mutego N;SG;BANTU1,PanLex Exact Match
tiri,itirira,giraffe,tiri PRO;INT;INT,Substring Overlap
thigo,thigo,[Translation Missing],thigo N;SG;BANTU10,No Lexicon Match
ndaa,ndaa,louse,ndaa V;PRS,PanLex Exact Match
Kiambi,amba,"apply, spread over, apply (by stretching)",amba V;PRS;HAB;3;SG,PanLex Exact Match
iriuko,iriuko,[Translation Missing],iriuko N;SG;BANTU9,No Lexicon Match
nguu,nguu,hippopotamus,nguu DET;POSS;PSS1P;BANTU9,PanLex Exact Match
timo,timori ya mashariki,"East Timor, Timor-Leste, 𐐀𐑅𐐻 𐐓𐐨𐑋𐐱𐑉",timo N;SG;BANTU10,Substring Overlap
mbia,mbia,rat,mbia V;PRS,PanLex Exact Match
Kuhika,tahika,vomit,hika V;NFIN,Substring Overlap
Irimu,irimu,[Translation Missing],irimu N;SG;BANTU10,No Lexicon Match
nduhingaga,hinga,obstruct,hingaga V;PRS,Substring Overlap
njau,njau,calf,njau DET;POSS;PSS1P;BANTU9,PanLex Exact Match
ndiganiro,ndiganiro,[Translation Missing],ndiganiro N;SG;BANTU10,No Lexicon Match
Kuma,ma,[Translation Missing],ma V;PRS;HAB;3;SG,No Lexicon Match
Mugethi,gethi,[Translation Missing],uMugethi N;SG;BANTU1,No Lexicon Match
maku,waku,[Translation Missing],maku DET;POSS;PSS1P;BANTU6,No Lexicon Match
Muria,muri,root,uMuria N;SG;BANTU1,Substring Overlap
kwega,ega,[Translation Missing],ega V;PRS;HAB;3;SG,No Lexicon Match
mwere,mwere,bullrush millet,mwere,PanLex Exact Match
igunagwo,igunagwo,[Translation Missing],igunagwo N;SG;BANTU9,No Lexicon Match
mutundu,undu,affair,mutundu N;SG;BANTU1,Substring Overlap
ngatho,ngatho,[Translation Missing],ngatho N;SG;BANTU9,No Lexicon Match
ngware,ngware,[Translation Missing],ngware,No Lexicon Match
mwoni,mwoni,[Translation Missing],mwoni N;SG;BANTU1,No Lexicon Match
